id,org,tweet,sentiment_type
1637,CallOfDutyBlackopsColdWar,aye im gonna keep slow war fun ive cod title black ops amazing shit,1
12415,WorldOfCraft,great result bloody war depth warcrafts plot enormous fantastic,1
7993,MaddenNFL,derwin james best safety list,1
7037,johnson&johnson,loonngg long overdue good job,1
2155,CallOfDuty,excited come home play call duty im fucking loser lol,1
2833,Dota2,dota chick love bed boy casey,1
6353,FIFA,easily best fifa first time secondary divisions ball kick high kick spin placement insane soundtrack vibe unmatched,1
9063,Nvidia,amd really got scared nvidias ampere quit making gpus switched bikes,1
7431,LeagueOfLegends,cant believe im saying league legends something best game ive ever played,1
4523,Google,might pay extra google drive space getting annoying,1
1199,AssassinsCreed,boys head wrap hours streaming hours played plus episodes screenshots finally finished,1
9228,Overwatch,finally hit diamond playing mostly ana really really happy also kind horrified given amount overwatch ive played season,1
1346,Battlefield,think im addicted battlefield,1
4150,CS-GO,good luck,1
10408,RedDeadRedemption(RDR),play friend red dead redemption sooooooo cute,1
1761,CallOfDutyBlackopsColdWar,love see,1
8385,Microsoft,wait still allow floppy disks thought ceased windows went couldve left floppy box entire time,1
3874,Cyberpunk2077,mont buy,1
12643,WorldOfCraft,took little hour get exalted rep unlocked vulpera tonight quickly build cute little fox shaman worth trouble unk,1
1213,Battlefield,bloody wow looking forward battlefield battlefield v overview trailer youtube wxwsdqm via youtube scom fighters scocontent,1
5109,GrandTheftAuto(GTA),enjoy running red lights killing people reason kill,1
2565,Borderlands,today fantastic day congratulations gearboxofficial k borderlands history makes feel emotions plus best looking dlc thank letting join family,1
1114,AssassinsCreed,fuck,1
5947,HomeDepot,ah depot nothing like getting smell cold cuts morning,1
9730,PlayStation5(PS5),also love way looks even away front refreshing im,1
10575,RedDeadRedemption(RDR),dam good game,1
4052,CS-GO,thieves two year awful lot work could done towards reaching fans time expanded lcs program signed great players achieved massive stuff fortnite added csgo valorant bottom step championships,1
5950,HomeDepot,id really prefer go home depot mall wow america different,1
4088,CS-GO,nice skin would happy win,1
6197,FIFA,greatest centre forward game seen,1
5625,HomeDepot,thank target homedepot ehn members employed stores pandemic taking safety staff seriously,1
3661,Cyberpunk2077,cyberpunk looks wonderful soooooooo truly good,1
11741,Verizon,amazing night live davematthewsbnd verizon payitforward live,1
6893,johnson&johnson,successful rest assured covid vaccine irritate eyes,1
1931,CallOfDutyBlackopsColdWar,soooo cold war beta tonight xbox enjoyed ps cant wait play xbox,1
12496,WorldOfCraft,apparently video game snow everywhere men love check screenshot world,1
1820,CallOfDutyBlackopsColdWar,still looks amazing high national hopes considering awful shite recent mw warzone,1
3106,Dota2,nice time finally chill good chill stream,1
6884,johnson&johnson,thank ginarush tireless support patients injured,1
12782,WorldOfCraft,listening col sfale ravencasts continue miscall turalion knowing crazy alliance players warcraft best part weekend hsespi,1
9145,Nvidia,nvidia broadcast amp came right sudden find practicing picwikipediaorg yhpzjhwt,1
1914,CallOfDutyBlackopsColdWar,best game far,1
5494,Hearthstone,odd rogue wild use hit lehman brothers times month winrate oneoffs flexible spots many good cards use wild final version best think playhearthstone picfacebookcom vefmebmj,1
858,AssassinsCreed,bored want see good story action watching buddy rhandlerr playing awesome assassins creed odyssey come watch lets see story go twitchtvthingkin rhttpr,1
1218,Battlefield,fun fails frolics,1
9701,PlayStation5(PS5),good sony much want review new whats going right seems much better important,1
6832,johnson&johnson,imagine johnson johnson sudafed happy imagine messi ronaldo playing team,1
6182,FIFA,ahhhh miss xbox live days good drug lol,1
9309,Overwatch,birthday crab legs goofy movie lady tramp remake im going play overwatch best friend,1
9854,PlayStation5(PS5),ps preorders also wanna get locked time even happening time around never know anymore,1
6449,Fortnite,guys thanks luis creating twoyearold profile,1
8027,Microsoft,thank everyone supported ups downs appreciate watchmib microsoft guys amazing,1
2208,CallOfDuty,nothing disappointing,1
11255,TomClancysRainbowSix,rainbowgame new dev team full asshats wont help console players problems likeframe glitchesmkddosingnot mention theyre pulling away games original theme realism adding op literal flying hologram dronethis game slipping,0
2667,Borderlands,damn stupid time bad dreams,0
11542,TomClancysRainbowSix,rainbowgame hell would put obj main room chalet,0
11420,TomClancysRainbowSix,idk whats done chalet reason fps dropping seems wine cellar garage idk whats happening unless really hard play ranked inside fps,0
5802,HomeDepot,yall forget fuck home depot bc would support trump orrr,0
10916,TomClancysGhostRecon,ubisoftcanada ghostrecon way remove discovered already looted poi map starting clog map even though ive already looted area eye symbols,0
3519,Facebook,facebook trying hard recover since last days even cant recover account phone via numbr times tried recover account trusted friend submit friends request code didnt got recovery connections facebook profile link facebook com rupak chhatui,0
8637,NBA2K,nbak im mad yall got dating white girl career,0
2015,CallOfDuty,chilling,0
7601,MaddenNFL,bro fuck madden english game modes never work eamaddennfl ea raidernation xbox get double refund please yall around long still dealing bs bugs put together every year ridiculous cant cash,0
13180,Xbox(Xseries),remember eb games could learnt neat lesson ps launch introducing microsoft xbox series x cause really exactly give shit neither sony microsoft happily sell bots means guaranteed income,0
2241,CallOfDuty,new grau mother lobe plus gold rush op dangerous cl youtubecaqewjpo youtube,0
2949,Dota2,today marks great years since finally joined madhouse force level com regularly spending work time hk og dota vancouver titans nyxl nysl andbox also share th biggest takeaway quake greatest computer game time,0
6388,FIFA,total joke,0
6475,Fortnite,apple nitegame epicgames,0
8616,NBA2K,nbak actually gonna fix software glitches next year aint getting vc since nd season hes th,0
2199,CallOfDuty,callofduty fuck ya took one bounty half game,0
7533,LeagueOfLegends,ruining life learning twitchtvscurveey,0
1607,CallOfDutyBlackopsColdWar,ridiculous fence fucking poorly optimized keep imma pass another one,0
2228,CallOfDuty,callofduty end,0
8620,NBA2K,fat w unk r unk nbak fix piece piece shit game,0
11227,TomClancysRainbowSix,rainbowgame cant log rain xbox,0
4414,Google,scoped storage android ruining google photos bufflysxlnpp pointjules,0
932,AssassinsCreed,think nuts thing ubisoft ever done take widely successful new assassins creed game origins literally whitewash changing skins putting incomplete buggy game odyssey,0
6024,FIFA,mfs training facilities fifa bro worried wrong,0
11616,Verizon,hey verizonfios verizonsupport internet speed drop mbit pay gig sim card services testing done via wired connection cat sftp gb cables speedtestnet result c b,0
3340,Facebook,twitter place lies told like facebook tell truth account shut picwikipediaorg xgkvpqek,0
5688,HomeDepot,boycotting home depot know shop places longer get money americans buy book stamps postal many keep running,0
6552,Fortnite,epic needs fix asap epicgames fortnitestatus fortnitegame pictwittercomrggvkugm,0
786,ApexLegends,playapex hello encounter strange quest timers apex account since last update treasure packs hours daily days lost treasure mission weekmaybe normal one dont know help game files already checked pictwittercomiuvezbrjxe,0
11740,Verizon,omfg thats dont get calls,0
11803,Verizon,broken experience attempting rhandlerr rhandlerr pictwittercomdxrgqoenb,0
10059,PlayerUnknownsBattlegrounds(PUBG),jdjdjd everyone getting annoyed playing fire like played pubg,0
10762,RedDeadRedemption(RDR),agree redredgreen boring,0
11698,Verizon,proposed fines att sprint tmobile verizon follow years reports companies improperly disclosed subscribers realtime geolocation information unknown parties cnnitcunq,0
5870,HomeDepot,quikunk destroying capitalism starting home depot slow burn k words,0
6765,Fortnite,fortnite world premieres mobile im fucking done,0
11685,Verizon,hey verizonfios verizonunk rate internet speed mbps lowmbps pay gig symmetric services unk test performed wired cable cat sftp gb cables speedtestnetresultccfb,0
10911,TomClancysGhostRecon,manager also good game started kicking network showing error mountain cant change missions etc someone help,0
3792,Cyberpunk2077,say spinning game minute,0
5195,GrandTheftAuto(GTA),unk mad fuck next gta chicago bro,0
6623,Fortnite,fortnite must forgotten console new update came lots v due fact delay new console editing system like post think fortnite forgot console console players,0
11460,TomClancysRainbowSix,rainbowgame ubisoftsupport omg th time got kickdisconnected game lost elo dont get disconnected win game dont even get elo give lost elo back,0
4950,GrandTheftAuto(GTA),man put support ticket w rockstar cant stay connected wi gta online closed without even responding messages,0
5267,Hearthstone,playhearthstone cani pass astromancer arwyn cuz holy spirit smite damage,0
4802,GrandTheftAuto(GTA),rockstar really milked gta v fucking generations shit playstationunk end ninas started developing gta iv,0
6166,FIFA,say un fifa institution comes un cartel scam people call namewait see coming next week,0
6321,FIFA,running things tried playing fifa gets boring tried watching film cant concentrate watching one haha tried working garden currently bad back suggestions taken,0
6756,Fortnite,god wont lil bro shut talk stupid fortnightly bullshit hes v people instead actually br shit,0
115,Amazon,plague without corruption,0
3635,Cyberpunk2077,wouldnt see blog tweet cause muted variations cyberpunk youre passionate user real name dont see please,0
2957,Dota2,damn blackout playing dota,0
523,ApexLegends,new favourite bloodhound skin season entry fucking haaard playapex respawn,0
